Exp,prepostDif,midpostDif,,,,,,,,,
1,0,-25,,,,,,,,,
1,-50,-50,,,,,,,,,
1,0,0,,,,,,,,,
1,0,0,,,,,,,,,
1,30,30,,,,,,,,,
1,0,0,,,,,,,,,
1,0,0,,,,,,,,,
1,0,0,,,,,,,,,
1,0,0,,,,,,,,,
1,50,80,,,,,,,,,
1,0,25,,,,,,,,,
1,0,20,,,,,,,,,
1,0,0,,,,,,,,,
1,40,40,,,,,,,,,
1,0,-25,,,,,,,,,
1,5,25,,,,,,,,,
1,-25,-25,,,,,,,,,
1,-20,0,,,,,,,,,
1,0,0,,,,,,,,,
1,10,20,,,,,,,,,
1,50,75,,,,,,,,,
1,50,30,,,,,,,,,
1,25,35,,,,,,,,,
1,-50,-50,,,,,,,,,
2,40,-10,,,,,,,,,
2,-20,0,,,,,,,,,
2,-20,0,,,,,,,,,
2,30,50,,,,,,,,,
2,-40,0,,,,,,,,,
2,50,60,,,,,,,,,
2,50,70,,,,,,,,,
2,-10,20,,,,,,,,,
2,0,0,,,,,,,,,
2,-25,0,,,,,,,,,
2,-15,0,,,,,,,,,
2,0,25,,,,,,,,,
2,0,0,,,,,,,,,
2,0,50,,,,,,,,,
2,-20,0,,,,,,,,,
2,0,0,,,,,,,,,
2,0,0,,,,,,,,,
2,-10,0,,,,,,,,,
2,50,30,,,,,,,,,
2,0,0,,,,,,,,,
2,0,0,,,,,,,,,
2,0,0,,,,,,,,,
2,0,10,,,,,,,,,
2,-55,-5,,,,,,,,,
3,0,25,,,,,,,,,
3,-20,0,,,,,,,,,
3,-22,30,,,,,,,,,
3,-30,-20,,,,,,,,,
3,0,25,,,,,,,,,
3,0,16,,,,,,,,,
3,0,25,,,,,,,,,
3,50,50,,,,,,,,,
3,0,0,,,,,,,,,
3,0,25,,,,,,,,,
3,-25,0,,,,,,,,,
3,-25,0,,,,,,,,,
3,10,10,,,,,,,,,
3,0,17,,,,,,,,,
3,-50,0,,,,,,,,,
3,0,20,,,,,,,,,
3,50,20,,,,,,,,,
3,15,-50,,,,,,,,,
3,10,20,,,,,,,,,
3,50,50,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
