ID,Sex,bb.a.pre,bb.b.pre,bb.a.post,bb.b.post,is.a.pre,is.b.pre,is.a.post,is.b.post,oc.a.pre,oc.b.pre,oc.a.post,oc.b.post,tc.a.pre,tc.b.pre,tc.a.post,tc.b.post,
1,m,75,25,100,10,75,25,0,100,80,50,100,0,50,50,100,100,
2,f,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,66,
3,f,50,50,100,30,50,50,0,100,50,50,100,0,50,50,100,90,
4,f,55,50,100,50,50,50,0,100,40,60,100,0,51,50,100,90,
5,m,50,50,100,50,50,50,100,50,50,50,100,50,75,25,100,66,
6,f,50,50,100,0,100,50,0,100,0,50,100,0,100,0,100,50,
7,m,60,60,100,60,35,65,5,95,60,40,100,5,60,40,95,60,
8,f,50,50,100,50,50,50,0,80,50,50,100,40,50,50,100,75,
9,f,70,20,100,30,60,5,0,80,10,50,100,0,60,50,90,80,
10,m,50,50,100,50,100,0,0,100,100,100,100,0,0,50,100,100,
11,f,60,40,100,50,50,50,10,80,40,20,90,10,30,20,80,80, 
12,f,50,50,100,50,50,50,50,100,50,50,100,0,50,50,100,66,
13,m,60,45,80,40,50,50,25,75,40,60,100,0,50,50,90,66,
14,m,50,50,100,50,50,80,0,100,50,50,100,0,100,100,100,75,
15,m,45,55,95,50,45,55,0,95,45,55,95,5,45,55,95,75,
16,f,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,67,
17,f,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,66,
18,f,10,10,100,50,50,75,1,75,50,50,100,1,25,75,100,100,
19,m,50,50,100,50,50,50,1,75,50,50,100,1,50,50,100,75,
20,f,50,50,100,50,50,50,5,95,50,50,70,0,50,50,60,60,
21,m,100,0,100,0,100,100,0,100,60,40,100,0,50,50,100,100,
22,f,50,50,100,50,50,50,0,100,50,75,100,0,40,60,100,100,
23,f,80,60,90,70,70,70,40,50,60,60,70,40,50,80,90,60,
24,f,60,20,90,30,50,30,10,100,40,50,100,1,40,50,100,10,
25,f,50,50,100,20,50,0,0,100,50,0,100,0,50,50,100,80,
26,f,50,50,90,20,100,20,10,90,70,70,100,20,0,60,100,90,
27,m,50,50,100,25,50,51,0,100,50,50,100,0,50,50,100,100,
28,m,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,100,
29,m,50,50,100,50,55,45,0,90,90,50,100,0,50,50,100,100,
30,m,50,50,100,50,50,50,50,100,50,50,100,50,50,50,100,67,
31,m,50,70,100,50,70,50,0,100,50,50,100,0,50,50,100,80,
32,f,50,50,70,30,50,50,0,100,50,50,100,0,70,30,60,40,
33,m,50,50,90,90,50,50,0,80,50,50,100,0,50,50,95,70,
34,f,70,40,95,40,30,80,5,95,20,70,95,5,70,40,95,95,
35,m,50,50,100,50,60,60,0,100,90,70,100,20,40,60,100,66,
36,f,75,25,100,25,50,50,0,100,49,49,94,10,50,50,100,55,
37,f,50,50,100,50,50,50,0,100,40,40,80,20,30,30,70,60,
38,f,0,50,100,20,0,70,0,100,2,50,100,0,50,10,100,80,
39,m,50,50,100,50,75,50,0,100,50,50,100,0,50,50,100,80,
40,f,50,50,100,0,50,50,0,100,50,50,100,10,50,50,100,100,
41,m,45,50,100,50,30,10,0,100,30,70,100,0,40,60,100,99,
42,m,50,50,100,50,50,50,0,50,50,50,100,0,0,100,100,100,
43,f,50,50,100,0,50,50,0,90,50,50,100,2,50,50,100,70,
44,f,40,30,90,30,80,50,30,60,40,30,85,15,50,20,90,40,
45,m,50,50,25,75,50,50,0,100,50,50,100,0,50,50,75,100,
46,m,50,40,100,50,92,54,0,100,60,0,100,0,80,30,100,70,
47,m,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,100,
48,m,40,50,100,50,50,50,0,100,50,50,100,0,50,50,100,66,
49,m,60,40,90,60,75,75,30,90,70,70,100,25,80,20,100,90,
50,f,50,50,100,50,50,50,100,50,50,50,50,50,50,50,100,100,
51,m,50,50,100,50,50,50,100,50,50,50,100,0,50,50,100,100,
52,f,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,100,
53,f,20,60,100,40,20,50,0,90,65,20,100,10,50,60,90,90,
54,m,50,50,100,0,50,50,0,99,50,50,100,0,40,60,90,90,
55,m,50,50,100,50,50,50,100,100,25,25,100,100,50,50,100,80,
56,m,50,50,80,50,60,50,50,60,50,50,80,10,60,50,50,60,
57,m,50,50,90,50,50,50,0,75,50,50,80,30,50,50,70,50,
58,f,50,50,100,50,50,50,0,100,50,50,100,0,50,50,100,90,
59,m,50,50,100,50,50,50,0,100,50,50,0,100,50,50,100,66,
60,f,50,50,100,40,80,50,0,100,50,50,100,0,60,40,100,100,
